session_id,target
1,1.4336472501642996e-06
2,5.500373544505783e-08
3,2.8354194355399853e-05
4,4.053680188576112e-08
5,7.108003503678328e-05
6,3.752434374051952e-07
7,3.4327325141818836e-05
8,2.4850936365370654e-06
9,2.4453445592225783e-07
10,2.7798417524188343e-05
11,6.685618849034976e-05
12,3.60683442579445e-07
13,1.3809762800512952e-06
14,0.003412095959396091
15,0.0005211437124971992
16,5.760482297255471e-06
17,0.00020038787818238928
18,3.923504580802899e-07
19,2.295999851334978e-05
20,4.5902459994819335e-07
21,0.004627586636577707
22,5.494281571511376e-10
23,0.00028759411210575443
24,1.3531136677698241e-06
25,1.4722277025928622e-05
26,2.846085607017793e-07
27,1.7210896498224285e-06
28,1.2278296790531025e-07
29,0.003954298455020808
30,0.0002846801404291326
31,0.01656625170026482
32,0.015897745564255245
33,1.4139363805389162e-06
34,2.8779422688509666e-06
35,0.03590859392666523
36,4.7016342033264225e-06
37,1.7545743860055154e-08
38,8.005452297420442e-08
39,0.00026561782411921764
40,1.2681824995124213e-07
41,0.002009227382722604
42,2.4341472349651226e-06
43,7.464621767635161e-05
44,1.327339797194277e-07
45,0.05795508044472643
46,0.00017575242179580441
47,6.852803989136593e-07
48,2.2098884601563895e-08
49,0.00016681816073094445
50,1.8384500379540385e-07
51,2.8177441095283666e-08
52,1.1085416013682034e-06
53,0.00013766011120165854
54,9.473045666869751e-06
55,0.001724425735964597
56,1.3545975658011898e-07
57,1.0497785105215901e-07
58,6.139660497981754e-09
59,1.3003220354194304e-07
60,2.4168794912777205e-10
61,9.406812332406365e-07
62,4.957992387085801e-06
63,1.1479357311852841e-08
64,0.0025493082653472326
65,8.667300271183676e-07
66,2.1685395238601166e-07
67,2.8464790136301533e-06
68,0.000661003264878704
69,0.0005876399934211823
70,3.0083103211634e-07
71,0.0014850882710369187
72,0.0004667862669383724
73,9.334383629245414e-05
74,3.0122687035424436e-05
75,6.848648530422524e-05
76,1.2734130643996603e-05
77,0.0002976662487199821
78,5.3854031303936876e-05
79,6.63431365965251e-07
80,1.4181771035734617e-07
81,3.6502261167656457e-07
82,5.2864802491370846e-09
83,1.9389036289562203e-07
84,0.17086062707416844
85,9.234595494525548e-05
86,4.403598555163978e-07
87,5.519167627357947e-05
88,0.0004839989904400247
89,0.0002653301833668313
90,0.03741311235751527
91,3.4375221122831076e-07
92,1.1798887117585505e-07
93,0.013957485377759347
94,1.5177210390844803e-08
95,1.244592153090786e-07
96,1.0093473733487001e-07
97,0.0011529184669193649
98,2.964685655446965e-07
99,2.3685001571297665e-09
100,4.338842321349014e-05
101,2.2681035305839672e-07
102,2.9303986224193154e-06
103,8.32636669555113e-07
104,5.083195928985456e-06
105,0.0008808825199642062
106,2.789878455387892e-07
107,3.136715881543285e-07
108,0.00012014433375911465
109,2.0830431520228922e-07
110,5.5736157044581436e-09
111,2.064981023906587e-06
112,2.847564547669251e-08
113,7.571597751597254e-06
114,2.6077421004616266e-07
115,3.177604142759685e-09
116,1.2251440395109216e-09
117,1.0853398280305577e-05
118,0.00045697896412048947
119,3.451871530722741e-07
120,0.0025493850208461255
121,9.670041036128509e-08
122,5.223533907434259e-07
123,9.995436761582806e-07
